Data;25416 - ═ndice de Atividade Econ¶mica Regional - Bahia - IBCR-BA - com ajuste sazonal - ═ndice;28287 - ═ndice de emprego formal - Bahia - ═ndice
01/2003;100,75 ;-
02/2003;99,51 ;-
03/2003;99,46 ;-
04/2003;98,75 ;-
05/2003;101,24 ;-
06/2003;101,13 ;-
07/2003;93,20 ;-
08/2003;107,00 ;-
09/2003;103,25 ;-
10/2003;105,44 ;-
11/2003;97,37 ;-
12/2003;100,28 ;-
01/2004;102,84 ;96,57
02/2004;106,19 ;96,94
03/2004;108,86 ;97,07
04/2004;109,69 ;97,77
05/2004;109,24 ;99,02
06/2004;112,30 ;99,68
07/2004;108,38 ;100,67
08/2004;108,87 ;101,64
09/2004;108,93 ;102,42
10/2004;107,84 ;102,72
11/2004;109,06 ;102,97
12/2004;109,30 ;102,52
01/2005;109,10 ;103,41
02/2005;112,25 ;103,93
03/2005;112,71 ;104,72
04/2005;113,86 ;105,88
05/2005;112,71 ;107,03
06/2005;114,89 ;108,17
07/2005;116,40 ;109,06
08/2005;116,64 ;109,84
09/2005;115,47 ;110,54
10/2005;113,43 ;111,11
11/2005;113,16 ;111,55
12/2005;116,01 ;111,11
01/2006;116,37 ;112,30
02/2006;115,58 ;112,82
03/2006;114,48 ;112,96
04/2006;115,29 ;113,47
05/2006;115,73 ;114,32
06/2006;116,29 ;114,92
07/2006;116,90 ;115,69
08/2006;117,90 ;116,27
09/2006;119,14 ;116,78
10/2006;119,46 ;116,71
11/2006;119,10 ;116,64
12/2006;119,04 ;116,02
01/2007;120,67 ;116,50
02/2007;118,45 ;116,77
03/2007;117,18 ;117,73
04/2007;117,43 ;118,93
05/2007;121,58 ;120,10
06/2007;122,53 ;120,93
07/2007;125,55 ;121,69
08/2007;122,72 ;122,29
09/2007;122,96 ;123,10
10/2007;125,06 ;123,78
11/2007;124,52 ;123,93
12/2007;126,65 ;123,53
01/2008;126,29 ;123,99
02/2008;127,83 ;124,29
03/2008;126,32 ;125,27
04/2008;126,68 ;126,64
05/2008;128,09 ;128,13
06/2008;126,04 ;129,00
07/2008;127,32 ;129,84
08/2008;132,10 ;130,58
09/2008;129,18 ;131,24
10/2008;125,94 ;130,73
11/2008;126,21 ;130,78
12/2008;124,70 ;129,14
01/2009;122,08 ;129,47
02/2009;126,92 ;129,83
03/2009;125,14 ;130,56
04/2009;120,44 ;131,28
05/2009;121,56 ;132,44
06/2009;124,17 ;133,36
07/2009;122,86 ;134,66
08/2009;131,30 ;136,03
09/2009;129,10 ;137,24
10/2009;128,95 ;138,24
11/2009;130,69 ;139,72
12/2009;132,45 ;139,41
01/2010;132,26 ;141,45
02/2010;134,79 ;142,29
03/2010;136,23 ;143,66
04/2010;136,41 ;145,03
05/2010;135,19 ;146,89
06/2010;132,80 ;147,57
07/2010;134,12 ;148,64
08/2010;135,33 ;150,22
09/2010;134,35 ;151,41
10/2010;136,66 ;152,38
11/2010;136,82 ;153,73
12/2010;135,71 ;152,00
01/2011;136,58 ;153,27
02/2011;133,61 ;154,02
03/2011;136,66 ;154,63
04/2011;137,24 ;155,98
05/2011;137,99 ;157,40
06/2011;138,85 ;158,76
07/2011;137,95 ;159,16
08/2011;138,43 ;159,97
09/2011;137,74 ;160,52
10/2011;138,39 ;160,83
11/2011;136,52 ;161,28
12/2011;136,66 ;159,86
01/2012;137,04 ;161,04
02/2012;136,23 ;161,08
03/2012;136,08 ;161,66
04/2012;136,62 ;162,70
05/2012;138,32 ;163,29
06/2012;138,48 ;163,62
07/2012;137,40 ;164,04
08/2012;137,13 ;164,39
09/2012;138,75 ;164,98
10/2012;139,47 ;164,66
11/2012;140,51 ;165,40
12/2012;141,98 ;163,97
01/2013;142,13 ;164,29
02/2013;142,11 ;164,45
03/2013;140,54 ;164,90
04/2013;140,97 ;166,17
05/2013;141,56 ;166,95
06/2013;140,43 ;167,33
07/2013;141,85 ;167,81
08/2013;142,47 ;168,64
09/2013;143,36 ;169,58
10/2013;141,96 ;169,57
11/2013;143,67 ;170,33
12/2013;142,88 ;169,06
01/2014;145,28 ;169,62
02/2014;144,35 ;170,54
03/2014;144,51 ;170,75
04/2014;144,90 ;171,15
05/2014;145,07 ;172,41
06/2014;145,87 ;172,30
07/2014;147,71 ;172,39
08/2014;146,31 ;172,95
09/2014;145,64 ;173,62
10/2014;145,44 ;173,01
11/2014;145,73 ;173,31
12/2014;144,46 ;171,22
01/2015;141,86 ;171,07
02/2015;142,97 ;170,59
03/2015;145,32 ;170,67
04/2015;143,53 ;170,64
05/2015;143,27 ;170,01
06/2015;144,33 ;169,29
07/2015;144,45 ;168,58
08/2015;144,13 ;167,96
09/2015;139,93 ;167,59
10/2015;142,04 ;166,58
11/2015;139,72 ;166,03
12/2015;140,65 ;164,03
01/2016;140,06 ;163,86
02/2016;136,59 ;163,44
03/2016;135,34 ;162,93
04/2016;135,48 ;162,63
05/2016;135,21 ;162,06
06/2016;134,09 ;160,91
07/2016;128,17 ;160,53
08/2016;133,68 ;160,35
09/2016;135,08 ;160,10
10/2016;136,47 ;159,61
11/2016;134,73 ;158,86
12/2016;134,48 ;157,12
01/2017;133,36 ;157,20
02/2017;134,90 ;157,12
03/2017;136,08 ;156,62
04/2017;135,25 ;157,36
05/2017;134,92 ;157,83
06/2017;132,23 ;157,66
07/2017;130,59 ;157,76
08/2017;134,89 ;158,00
09/2017;136,39 ;158,27
10/2017;134,73 ;158,35
11/2017;136,28 ;158,30
12/2017;136,36 ;157,13
01/2018;138,68 ;157,84
02/2018;137,96 ;157,91
03/2018;136,89 ;158,42
04/2018;137,55 ;158,73
05/2018;129,61 ;159,41
06/2018;138,06 ;159,29
07/2018;137,93 ;159,49
08/2018;138,83 ;159,94
09/2018;138,33 ;160,81
10/2018;139,29 ;160,95
11/2018;138,92 ;161,10
12/2018;138,97 ;160,03
01/2019;137,68 ;160,28
02/2019;135,77 ;161,03
03/2019;135,65 ;161,31
04/2019;136,94 ;162,39
05/2019;138,28 ;162,71
06/2019;137,99 ;163,03
07/2019;139,19 ;162,86
08/2019;137,98 ;163,24
09/2019;137,89 ;163,69
10/2019;138,19 ;163,63
11/2019;138,44 ;164,00
12/2019;138,60 ;162,95
01/2020;141,53 ;-
02/2020;138,54 ;-
03/2020;133,72 ;-
04/2020;123,77 ;-
05/2020;126,80 ;-
06/2020;128,54 ;-
07/2020;129,43 ;-
08/2020;131,49 ;-
09/2020;133,92 ;-
10/2020;136,30 ;-
11/2020;138,29 ;-
12/2020;139,11 ;-
01/2021;137,60 ;-
02/2021;137,36 ;-
03/2021;137,12 ;-
04/2021;136,61 ;-
05/2021;131,32 ;-
06/2021;135,57 ;-
07/2021;136,50 ;-
08/2021;136,98 ;-
09/2021;137,66 ;-
10/2021;139,42 ;-
11/2021;139,76 ;-
12/2021;140,63 ;-
01/2022;140,90 ;-
02/2022;143,68 ;-
03/2022;149,54 ;-
04/2022;149,43 ;-
05/2022;141,03 ;-
06/2022;139,90 ;-
07/2022;138,08 ;-
08/2022;140,10 ;-
09/2022;141,08 ;-
10/2022;139,35 ;-
11/2022;138,81 ;-
12/2022;138,65 ;-
01/2023;140,78 ;-
02/2023;145,17 ;-
03/2023;149,85 ;-
04/2023;152,34 ;-
05/2023;145,94 ;-
06/2023;147,19 ;-
07/2023;149,22 ;-
08/2023;142,76 ;-
09/2023;141,39 ;-
10/2023;144,99 ;-
11/2023;145,90 ;-
12/2023;145,19 ;-
01/2024;147,78 ;-
02/2024;146,59 ;-
03/2024;150,86 ;-
04/2024;151,12 ;-
05/2024;151,47 ;-
06/2024;150,93 ;-
07/2024;151,31 ;-
08/2024;150,10 ;-
09/2024;148,90 ;-
10/2024;149,73 ;-
11/2024;150,01 ;-
Fonte;BCB-Depec;MTb
