Data;25391 - Õndice de Atividade EconÙmica Regional - Cear· - IBCR-CE - com ajuste sazonal - Õndice;28288 - Õndice de emprego formal - Cear· - Õndice
01/2003;101,29 ;-
02/2003;100,91 ;-
03/2003;100,19 ;-
04/2003;100,43 ;-
05/2003;100,23 ;-
06/2003;101,40 ;-
07/2003;99,24 ;-
08/2003;99,45 ;-
09/2003;98,62 ;-
10/2003;98,80 ;-
11/2003;98,51 ;-
12/2003;99,31 ;-
01/2004;99,81 ;97,10
02/2004;100,15 ;97,01
03/2004;100,71 ;97,05
04/2004;100,81 ;97,40
05/2004;100,98 ;98,12
06/2004;101,79 ;99,01
07/2004;102,91 ;99,83
08/2004;103,49 ;101,27
09/2004;105,11 ;102,56
10/2004;105,57 ;103,21
11/2004;105,76 ;104,09
12/2004;106,94 ;103,35
01/2005;105,01 ;103,37
02/2005;104,86 ;103,37
03/2005;104,85 ;103,70
04/2005;105,45 ;104,09
05/2005;105,46 ;104,54
06/2005;105,31 ;105,24
07/2005;105,96 ;106,02
08/2005;105,79 ;107,09
09/2005;105,99 ;108,37
10/2005;106,70 ;109,16
11/2005;108,24 ;110,06
12/2005;109,57 ;109,84
01/2006;111,48 ;109,59
02/2006;111,09 ;109,79
03/2006;112,52 ;109,55
04/2006;112,98 ;109,98
05/2006;115,91 ;110,74
06/2006;115,70 ;111,43
07/2006;117,49 ;112,35
08/2006;117,18 ;113,58
09/2006;115,91 ;115,09
10/2006;114,62 ;116,22
11/2006;115,69 ;117,32
12/2006;115,53 ;116,60
01/2007;115,72 ;115,95
02/2007;116,50 ;116,05
03/2007;115,64 ;116,09
04/2007;115,67 ;116,89
05/2007;116,03 ;117,49
06/2007;115,43 ;118,05
07/2007;115,17 ;119,16
08/2007;115,94 ;120,80
09/2007;118,22 ;122,18
10/2007;119,87 ;123,44
11/2007;120,67 ;124,61
12/2007;122,00 ;124,31
01/2008;119,99 ;123,71
02/2008;121,33 ;123,63
03/2008;123,45 ;124,09
04/2008;122,19 ;124,02
05/2008;125,98 ;124,65
06/2008;127,17 ;126,18
07/2008;127,19 ;127,91
08/2008;129,97 ;129,67
09/2008;127,34 ;130,91
10/2008;124,42 ;131,72
11/2008;121,99 ;132,51
12/2008;122,21 ;131,47
01/2009;121,79 ;130,38
02/2009;123,04 ;130,53
03/2009;123,27 ;130,81
04/2009;123,97 ;131,69
05/2009;123,99 ;132,09
06/2009;125,12 ;133,18
07/2009;126,40 ;134,85
08/2009;128,15 ;137,15
09/2009;128,86 ;139,43
10/2009;130,67 ;141,45
11/2009;131,14 ;143,68
12/2009;133,07 ;143,67
01/2010;135,60 ;143,47
02/2010;134,78 ;144,80
03/2010;136,18 ;146,01
04/2010;135,84 ;147,44
05/2010;134,20 ;148,55
06/2010;133,74 ;149,65
07/2010;134,44 ;150,97
08/2010;133,97 ;153,09
09/2010;135,60 ;154,97
10/2010;136,79 ;156,07
11/2010;137,90 ;157,30
12/2010;137,62 ;157,25
01/2011;136,63 ;157,29
02/2011;137,83 ;158,43
03/2011;138,80 ;158,44
04/2011;138,65 ;159,61
05/2011;146,17 ;160,14
06/2011;143,82 ;161,02
07/2011;143,11 ;162,41
08/2011;143,55 ;163,85
09/2011;142,77 ;165,46
10/2011;139,47 ;166,67
11/2011;139,30 ;167,50
12/2011;139,12 ;166,52
01/2012;139,63 ;166,23
02/2012;140,59 ;166,96
03/2012;140,97 ;166,92
04/2012;139,91 ;167,56
05/2012;139,72 ;167,87
06/2012;139,75 ;168,62
07/2012;140,22 ;169,91
08/2012;139,93 ;170,89
09/2012;141,67 ;172,53
10/2012;144,52 ;173,29
11/2012;147,72 ;174,17
12/2012;145,24 ;173,20
01/2013;147,67 ;172,59
02/2013;145,35 ;172,68
03/2013;145,79 ;172,66
04/2013;146,06 ;173,39
05/2013;148,20 ;173,73
06/2013;145,55 ;175,57
07/2013;145,73 ;176,15
08/2013;145,14 ;177,37
09/2013;147,54 ;178,93
10/2013;150,37 ;180,17
11/2013;151,74 ;181,76
12/2013;150,16 ;181,30
01/2014;151,23 ;180,84
02/2014;151,86 ;182,18
03/2014;152,05 ;181,87
04/2014;152,04 ;182,67
05/2014;153,03 ;183,30
06/2014;149,24 ;183,27
07/2014;153,51 ;183,69
08/2014;155,41 ;185,42
09/2014;155,82 ;187,26
10/2014;153,05 ;188,32
11/2014;153,51 ;189,68
12/2014;153,90 ;188,86
01/2015;152,12 ;187,91
02/2015;151,52 ;187,64
03/2015;149,29 ;187,75
04/2015;148,87 ;187,21
05/2015;147,86 ;187,03
06/2015;146,79 ;187,24
07/2015;146,12 ;186,65
08/2015;145,87 ;186,89
09/2015;145,54 ;186,60
10/2015;146,01 ;185,89
11/2015;144,52 ;185,19
12/2015;143,99 ;183,45
01/2016;144,05 ;182,16
02/2016;143,35 ;181,44
03/2016;143,96 ;180,75
04/2016;142,78 ;180,39
05/2016;141,50 ;179,92
06/2016;141,24 ;179,65
07/2016;140,36 ;178,94
08/2016;138,93 ;179,05
09/2016;138,81 ;179,15
10/2016;139,49 ;178,80
11/2016;139,45 ;178,70
12/2016;138,29 ;177,60
01/2017;140,21 ;176,56
02/2017;140,93 ;176,62
03/2017;140,68 ;175,90
04/2017;142,23 ;175,82
05/2017;147,19 ;175,41
06/2017;145,01 ;175,46
07/2017;144,32 ;175,91
08/2017;142,08 ;176,78
09/2017;141,53 ;177,14
10/2017;141,72 ;177,65
11/2017;141,69 ;178,03
12/2017;143,71 ;177,22
01/2018;142,99 ;177,66
02/2018;142,54 ;177,68
03/2018;143,98 ;177,78
04/2018;144,06 ;178,41
05/2018;143,28 ;178,73
06/2018;144,21 ;178,84
07/2018;147,17 ;178,98
08/2018;147,33 ;179,79
09/2018;147,64 ;180,83
10/2018;145,46 ;181,50
11/2018;145,92 ;181,86
12/2018;145,53 ;180,90
01/2019;145,86 ;180,22
02/2019;147,26 ;180,44
03/2019;146,55 ;179,75
04/2019;146,52 ;180,10
05/2019;147,15 ;179,88
06/2019;146,61 ;179,89
07/2019;146,73 ;180,01
08/2019;146,28 ;180,73
09/2019;147,56 ;181,74
10/2019;148,29 ;182,27
11/2019;149,25 ;183,04
12/2019;148,99 ;182,53
01/2020;149,24 ;-
02/2020;148,70 ;-
03/2020;137,90 ;-
04/2020;121,17 ;-
05/2020;122,31 ;-
06/2020;131,69 ;-
07/2020;140,64 ;-
08/2020;145,27 ;-
09/2020;145,79 ;-
10/2020;147,16 ;-
11/2020;147,13 ;-
12/2020;149,41 ;-
01/2021;146,63 ;-
02/2021;145,89 ;-
03/2021;138,47 ;-
04/2021;143,44 ;-
05/2021;144,61 ;-
06/2021;145,42 ;-
07/2021;145,74 ;-
08/2021;145,88 ;-
09/2021;146,68 ;-
10/2021;149,76 ;-
11/2021;150,28 ;-
12/2021;149,03 ;-
01/2022;146,16 ;-
02/2022;147,18 ;-
03/2022;149,79 ;-
04/2022;151,12 ;-
05/2022;151,90 ;-
06/2022;151,95 ;-
07/2022;150,84 ;-
08/2022;151,66 ;-
09/2022;151,76 ;-
10/2022;148,90 ;-
11/2022;149,00 ;-
12/2022;148,63 ;-
01/2023;149,62 ;-
02/2023;149,95 ;-
03/2023;151,36 ;-
04/2023;151,95 ;-
05/2023;150,57 ;-
06/2023;151,34 ;-
07/2023;152,21 ;-
08/2023;148,90 ;-
09/2023;151,32 ;-
10/2023;152,71 ;-
11/2023;153,11 ;-
12/2023;154,82 ;-
01/2024;156,01 ;-
02/2024;158,35 ;-
03/2024;158,00 ;-
04/2024;157,69 ;-
05/2024;159,72 ;-
06/2024;159,42 ;-
07/2024;160,47 ;-
08/2024;161,97 ;-
09/2024;161,33 ;-
10/2024;161,85 ;-
11/2024;162,27 ;-
Fonte;BCB-Depec;MTb
