Data;25397 - ═ndice de Atividade Econ¶mica Regional - Rio de Janeiro - IBCR-RJ - com ajuste sazonal - ═ndice;28310 - ═ndice de emprego formal - Rio de Janeiro - ═ndice
01/2003;100,18 ;-
02/2003;101,25 ;-
03/2003;99,53 ;-
04/2003;99,90 ;-
05/2003;98,85 ;-
06/2003;98,90 ;-
07/2003;99,34 ;-
08/2003;99,17 ;-
09/2003;99,44 ;-
10/2003;99,94 ;-
11/2003;99,92 ;-
12/2003;98,65 ;-
01/2004;100,02 ;97,04
02/2004;100,65 ;97,45
03/2004;100,74 ;97,70
04/2004;100,75 ;98,38
05/2004;100,59 ;99,26
06/2004;102,66 ;99,71
07/2004;102,05 ;100,33
08/2004;102,82 ;101,14
09/2004;102,87 ;101,70
10/2004;103,46 ;102,13
11/2004;103,36 ;102,74
12/2004;103,85 ;102,41
01/2005;103,77 ;102,51
02/2005;103,14 ;102,81
03/2005;105,07 ;103,15
04/2005;105,60 ;104,02
05/2005;106,39 ;104,84
06/2005;106,06 ;105,47
07/2005;105,47 ;105,97
08/2005;106,80 ;106,59
09/2005;108,28 ;107,32
10/2005;107,59 ;107,94
11/2005;108,63 ;108,81
12/2005;108,49 ;108,61
01/2006;109,32 ;108,78
02/2006;109,47 ;109,54
03/2006;108,70 ;109,66
04/2006;109,17 ;110,61
05/2006;109,63 ;111,20
06/2006;107,49 ;111,43
07/2006;109,85 ;111,97
08/2006;110,26 ;112,33
09/2006;109,82 ;113,03
10/2006;110,63 ;113,65
11/2006;111,06 ;114,58
12/2006;111,90 ;114,53
01/2007;112,04 ;114,66
02/2007;111,71 ;115,15
03/2007;113,17 ;115,70
04/2007;112,87 ;116,59
05/2007;112,46 ;117,16
06/2007;112,61 ;117,79
07/2007;112,28 ;118,27
08/2007;112,91 ;118,77
09/2007;112,43 ;119,81
10/2007;113,42 ;120,64
11/2007;113,94 ;121,68
12/2007;114,54 ;121,94
01/2008;115,84 ;122,07
02/2008;115,13 ;122,61
03/2008;115,93 ;123,51
04/2008;115,46 ;124,55
05/2008;117,14 ;125,31
06/2008;117,97 ;126,16
07/2008;118,39 ;127,05
08/2008;118,40 ;127,91
09/2008;118,74 ;128,97
10/2008;118,00 ;129,68
11/2008;116,94 ;130,51
12/2008;114,91 ;129,60
01/2009;116,21 ;128,95
02/2009;115,56 ;129,36
03/2009;118,69 ;129,72
04/2009;118,01 ;130,05
05/2009;119,43 ;130,55
06/2009;119,49 ;130,86
07/2009;119,86 ;131,38
08/2009;119,86 ;132,24
09/2009;122,44 ;133,09
10/2009;122,16 ;134,01
11/2009;121,42 ;135,18
12/2009;123,26 ;134,83
01/2010;124,18 ;135,00
02/2010;124,91 ;135,49
03/2010;125,03 ;136,71
04/2010;125,18 ;137,55
05/2010;126,26 ;138,67
06/2010;126,70 ;139,54
07/2010;127,10 ;140,29
08/2010;127,54 ;141,53
09/2010;127,38 ;142,60
10/2010;127,71 ;143,63
11/2010;129,57 ;145,16
12/2010;128,07 ;144,75
01/2011;128,15 ;144,92
02/2011;129,33 ;146,04
03/2011;127,57 ;146,27
04/2011;128,78 ;147,62
05/2011;127,97 ;148,52
06/2011;126,91 ;149,57
07/2011;127,15 ;150,18
08/2011;127,97 ;151,28
09/2011;128,38 ;152,58
10/2011;128,06 ;153,26
11/2011;129,15 ;154,46
12/2011;127,60 ;153,93
01/2012;125,02 ;154,28
02/2012;127,98 ;155,22
03/2012;128,16 ;156,09
04/2012;127,93 ;157,06
05/2012;128,39 ;157,72
06/2012;127,41 ;158,32
07/2012;128,55 ;159,09
08/2012;128,44 ;159,66
09/2012;126,57 ;160,52
10/2012;128,45 ;160,98
11/2012;128,49 ;161,67
12/2012;128,88 ;160,84
01/2013;129,69 ;159,94
02/2013;127,18 ;160,50
03/2013;128,41 ;161,42
04/2013;128,68 ;162,31
05/2013;128,45 ;162,68
06/2013;128,87 ;163,16
07/2013;128,88 ;163,28
08/2013;128,58 ;163,87
09/2013;130,43 ;164,78
10/2013;130,08 ;165,20
11/2013;130,46 ;166,12
12/2013;129,96 ;165,50
01/2014;130,93 ;164,62
02/2014;131,30 ;165,95
03/2014;131,05 ;165,83
04/2014;130,48 ;166,44
05/2014;129,66 ;166,91
06/2014;130,99 ;167,26
07/2014;130,69 ;166,92
08/2014;130,41 ;167,53
09/2014;129,93 ;168,26
10/2014;129,55 ;168,25
11/2014;130,22 ;169,01
12/2014;130,68 ;167,88
01/2015;132,23 ;166,16
02/2015;129,13 ;165,62
03/2015;130,06 ;165,83
04/2015;129,46 ;165,25
05/2015;129,07 ;164,81
06/2015;128,39 ;164,52
07/2015;127,63 ;163,75
08/2015;128,88 ;163,31
09/2015;126,37 ;163,01
10/2015;126,28 ;162,13
11/2015;125,29 ;161,63
12/2015;125,20 ;159,83
01/2016;124,68 ;158,66
02/2016;124,14 ;157,62
03/2016;123,57 ;157,05
04/2016;123,58 ;156,57
05/2016;124,05 ;155,96
06/2016;123,90 ;155,30
07/2016;123,88 ;154,84
08/2016;123,27 ;153,63
09/2016;121,85 ;152,57
10/2016;121,07 ;151,67
11/2016;121,16 ;151,14
12/2016;119,01 ;149,34
01/2017;119,93 ;148,18
02/2017;121,31 ;147,86
03/2017;120,51 ;147,04
04/2017;120,91 ;146,98
05/2017;119,82 ;146,77
06/2017;119,31 ;146,52
07/2017;117,36 ;146,14
08/2017;119,32 ;146,01
09/2017;120,91 ;145,94
10/2017;121,04 ;145,78
11/2017;121,30 ;146,02
12/2017;120,50 ;145,27
01/2018;120,39 ;144,86
02/2018;120,75 ;144,79
03/2018;120,43 ;144,91
04/2018;122,62 ;145,29
05/2018;119,34 ;145,17
06/2018;119,94 ;145,11
07/2018;119,57 ;145,09
08/2018;118,92 ;145,27
09/2018;119,35 ;145,64
10/2018;119,39 ;145,64
11/2018;118,93 ;146,25
12/2018;120,25 ;145,67
01/2019;120,72 ;145,18
02/2019;120,35 ;145,67
03/2019;120,41 ;145,31
04/2019;120,75 ;145,49
05/2019;123,09 ;145,34
06/2019;119,00 ;145,49
07/2019;121,92 ;145,38
08/2019;122,44 ;145,92
09/2019;122,51 ;146,53
10/2019;123,60 ;146,10
11/2019;125,61 ;146,85
12/2019;125,20 ;146,41
01/2020;125,75 ;-
02/2020;124,84 ;-
03/2020;119,53 ;-
04/2020;109,58 ;-
05/2020;110,08 ;-
06/2020;111,51 ;-
07/2020;117,17 ;-
08/2020;119,52 ;-
09/2020;118,97 ;-
10/2020;119,76 ;-
11/2020;118,77 ;-
12/2020;118,99 ;-
01/2021;119,82 ;-
02/2021;120,73 ;-
03/2021;118,03 ;-
04/2021;120,71 ;-
05/2021;123,46 ;-
06/2021;122,91 ;-
07/2021;122,66 ;-
08/2021;122,54 ;-
09/2021;122,45 ;-
10/2021;123,11 ;-
11/2021;123,38 ;-
12/2021;123,85 ;-
01/2022;124,16 ;-
02/2022;124,26 ;-
03/2022;125,93 ;-
04/2022;130,66 ;-
05/2022;126,10 ;-
06/2022;122,56 ;-
07/2022;127,87 ;-
08/2022;128,34 ;-
09/2022;128,20 ;-
10/2022;134,84 ;-
11/2022;129,47 ;-
12/2022;128,76 ;-
01/2023;129,67 ;-
02/2023;130,79 ;-
03/2023;130,92 ;-
04/2023;133,34 ;-
05/2023;132,49 ;-
06/2023;133,00 ;-
07/2023;134,96 ;-
08/2023;134,63 ;-
09/2023;137,26 ;-
10/2023;136,90 ;-
11/2023;139,34 ;-
12/2023;138,50 ;-
01/2024;138,22 ;-
02/2024;137,84 ;-
03/2024;138,48 ;-
04/2024;136,11 ;-
05/2024;137,92 ;-
06/2024;137,64 ;-
07/2024;135,05 ;-
08/2024;136,55 ;-
09/2024;136,51 ;-
10/2024;135,25 ;-
11/2024;135,35 ;-
Fonte;BCB-Depec;MTb
