Data;25413 - ═ndice de Atividade Econ¶mica Regional - Paranß - IBCR-PR - com ajuste sazonal - ═ndice;28314 - ═ndice de emprego formal - Paranß - ═ndice
01/2003;104,50 ;-
02/2003;106,57 ;-
03/2003;107,37 ;-
04/2003;104,47 ;-
05/2003;102,61 ;-
06/2003;102,19 ;-
07/2003;104,20 ;-
08/2003;105,84 ;-
09/2003;104,41 ;-
10/2003;104,42 ;-
11/2003;105,31 ;-
12/2003;105,09 ;-
01/2004;107,39 ;94,46
02/2004;109,02 ;95,25
03/2004;110,04 ;96,39
04/2004;108,99 ;97,82
05/2004;104,87 ;99,42
06/2004;104,80 ;100,21
07/2004;109,20 ;101,01
08/2004;113,06 ;102,21
09/2004;111,72 ;103,12
10/2004;111,14 ;103,77
11/2004;112,01 ;104,13
12/2004;111,55 ;102,20
01/2005;112,21 ;102,46
02/2005;112,06 ;103,05
03/2005;114,04 ;104,10
04/2005;113,19 ;105,66
05/2005;112,19 ;106,67
06/2005;110,22 ;107,15
07/2005;110,72 ;107,47
08/2005;110,42 ;108,16
09/2005;111,36 ;108,61
10/2005;111,11 ;108,58
11/2005;109,53 ;108,61
12/2005;111,31 ;107,08
01/2006;113,97 ;107,57
02/2006;110,73 ;108,53
03/2006;108,63 ;109,19
04/2006;111,22 ;110,50
05/2006;114,06 ;111,42
06/2006;114,21 ;111,76
07/2006;113,72 ;112,28
08/2006;113,39 ;112,78
09/2006;109,27 ;113,49
10/2006;114,04 ;114,22
11/2006;115,49 ;114,48
12/2006;120,05 ;113,07
01/2007;118,67 ;113,68
02/2007;118,18 ;114,60
03/2007;117,43 ;115,91
04/2007;120,14 ;117,68
05/2007;120,16 ;118,74
06/2007;122,64 ;119,28
07/2007;121,94 ;119,98
08/2007;122,23 ;120,78
09/2007;120,18 ;121,70
10/2007;126,10 ;122,57
11/2007;124,74 ;123,17
12/2007;127,24 ;121,08
01/2008;127,38 ;121,94
02/2008;125,53 ;122,89
03/2008;126,84 ;124,49
04/2008;127,67 ;126,28
05/2008;131,02 ;127,36
06/2008;131,13 ;128,28
07/2008;133,18 ;129,20
08/2008;132,61 ;130,17
09/2008;132,67 ;131,33
10/2008;132,36 ;131,75
11/2008;131,71 ;131,78
12/2008;125,86 ;128,51
01/2009;125,97 ;128,68
02/2009;125,69 ;128,92
03/2009;123,84 ;129,68
04/2009;125,29 ;130,21
05/2009;124,84 ;131,01
06/2009;124,01 ;131,41
07/2009;123,80 ;131,92
08/2009;126,59 ;132,89
09/2009;123,67 ;133,80
10/2009;129,08 ;134,75
11/2009;130,51 ;135,83
12/2009;135,71 ;133,55
01/2010;135,72 ;134,57
02/2010;138,93 ;135,50
03/2010;142,57 ;137,03
04/2010;139,84 ;138,38
05/2010;139,01 ;139,62
06/2010;140,01 ;140,22
07/2010;139,25 ;141,05
08/2010;138,03 ;142,47
09/2010;139,30 ;143,42
10/2010;139,77 ;144,43
11/2010;142,43 ;145,09
12/2010;141,87 ;143,01
01/2011;146,55 ;144,05
02/2011;143,24 ;145,39
03/2011;141,95 ;146,32
04/2011;145,48 ;147,60
05/2011;146,62 ;148,72
06/2011;147,78 ;149,22
07/2011;149,06 ;149,80
08/2011;148,27 ;150,74
09/2011;149,07 ;151,62
10/2011;150,76 ;152,37
11/2011;152,25 ;152,77
12/2011;156,31 ;150,69
01/2012;147,24 ;151,71
02/2012;144,71 ;152,64
03/2012;139,10 ;153,71
04/2012;144,82 ;155,10
05/2012;148,31 ;155,98
06/2012;149,65 ;156,39
07/2012;150,24 ;156,84
08/2012;150,44 ;157,40
09/2012;149,67 ;158,08
10/2012;149,64 ;158,52
11/2012;149,48 ;158,86
12/2012;149,08 ;156,14
01/2013;150,73 ;156,86
02/2013;153,30 ;157,91
03/2013;153,92 ;159,10
04/2013;154,96 ;160,38
05/2013;154,27 ;161,04
06/2013;152,54 ;161,42
07/2013;153,70 ;161,58
08/2013;156,43 ;162,40
09/2013;155,14 ;163,45
10/2013;155,05 ;164,00
11/2013;155,91 ;164,36
12/2013;154,08 ;161,58
01/2014;156,43 ;162,39
02/2014;156,30 ;164,05
03/2014;154,20 ;164,41
04/2014;152,39 ;165,21
05/2014;152,75 ;165,69
06/2014;147,47 ;165,53
07/2014;148,53 ;165,70
08/2014;154,05 ;166,08
09/2014;153,48 ;166,83
10/2014;153,11 ;166,82
11/2014;154,45 ;167,11
12/2014;155,71 ;164,01
01/2015;152,86 ;164,47
02/2015;152,60 ;164,99
03/2015;153,34 ;165,64
04/2015;152,75 ;165,53
05/2015;149,73 ;165,46
06/2015;150,91 ;164,94
07/2015;142,55 ;164,17
08/2015;147,10 ;163,69
09/2015;147,85 ;163,21
10/2015;146,33 ;162,69
11/2015;144,02 ;162,17
12/2015;143,63 ;159,36
01/2016;145,14 ;159,43
02/2016;142,65 ;159,32
03/2016;143,61 ;159,06
04/2016;147,15 ;159,01
05/2016;144,39 ;158,81
06/2016;144,67 ;158,37
07/2016;145,35 ;158,02
08/2016;143,05 ;158,08
09/2016;143,94 ;158,13
10/2016;146,36 ;158,07
11/2016;146,66 ;157,59
12/2016;142,99 ;155,64
01/2017;146,98 ;155,98
02/2017;150,68 ;156,63
03/2017;150,53 ;156,72
04/2017;148,29 ;157,18
05/2017;147,16 ;157,35
06/2017;147,35 ;157,13
07/2017;148,92 ;157,20
08/2017;149,16 ;157,31
09/2017;148,55 ;157,55
10/2017;147,90 ;157,86
11/2017;148,41 ;157,99
12/2017;149,63 ;156,46
01/2018;146,95 ;157,21
02/2018;146,90 ;157,70
03/2018;146,09 ;158,19
04/2018;150,81 ;158,76
05/2018;141,83 ;158,86
06/2018;152,93 ;158,45
07/2018;151,64 ;158,62
08/2018;151,31 ;159,29
09/2018;151,86 ;159,85
10/2018;149,89 ;160,29
11/2018;151,97 ;160,63
12/2018;150,98 ;158,99
01/2019;151,47 ;159,60
02/2019;149,72 ;160,76
03/2019;148,80 ;160,67
04/2019;151,12 ;161,34
05/2019;154,68 ;161,44
06/2019;156,57 ;161,45
07/2019;154,92 ;161,51
08/2019;154,91 ;162,07
09/2019;154,66 ;162,64
10/2019;155,72 ;163,10
11/2019;151,94 ;163,51
12/2019;151,28 ;162,13
01/2020;154,83 ;-
02/2020;155,90 ;-
03/2020;150,19 ;-
04/2020;136,31 ;-
05/2020;143,44 ;-
06/2020;146,68 ;-
07/2020;145,67 ;-
08/2020;149,69 ;-
09/2020;155,24 ;-
10/2020;159,18 ;-
11/2020;157,56 ;-
12/2020;158,76 ;-
01/2021;157,87 ;-
02/2021;158,94 ;-
03/2021;159,62 ;-
04/2021;158,71 ;-
05/2021;155,03 ;-
06/2021;153,10 ;-
07/2021;151,11 ;-
08/2021;154,36 ;-
09/2021;154,65 ;-
10/2021;155,58 ;-
11/2021;155,82 ;-
12/2021;157,44 ;-
01/2022;155,97 ;-
02/2022;156,30 ;-
03/2022;157,51 ;-
04/2022;154,61 ;-
05/2022;154,18 ;-
06/2022;156,55 ;-
07/2022;156,72 ;-
08/2022;159,21 ;-
09/2022;155,41 ;-
10/2022;150,69 ;-
11/2022;152,58 ;-
12/2022;154,80 ;-
01/2023;158,71 ;-
02/2023;170,01 ;-
03/2023;176,50 ;-
04/2023;168,80 ;-
05/2023;163,13 ;-
06/2023;160,98 ;-
07/2023;158,76 ;-
08/2023;162,84 ;-
09/2023;163,28 ;-
10/2023;161,39 ;-
11/2023;161,91 ;-
12/2023;162,23 ;-
01/2024;168,22 ;-
02/2024;162,37 ;-
03/2024;160,51 ;-
04/2024;165,59 ;-
05/2024;168,55 ;-
06/2024;174,44 ;-
07/2024;170,19 ;-
08/2024;168,00 ;-
09/2024;171,46 ;-
10/2024;173,69 ;-
11/2024;174,61 ;-
Fonte;BCB-Depec;MTb
