Data;25394 - Índice de Atividade Econômica Regional - Săo Paulo - IBCR-SP - com ajuste sazonal - Índice;28311 - Índice de emprego formal - Săo Paulo - Índice
01/2003;99,49 ;-
02/2003;100,56 ;-
03/2003;100,52 ;-
04/2003;98,32 ;-
05/2003;97,54 ;-
06/2003;97,85 ;-
07/2003;97,83 ;-
08/2003;98,59 ;-
09/2003;99,09 ;-
10/2003;99,59 ;-
11/2003;100,38 ;-
12/2003;100,64 ;-
01/2004;101,73 ;95,22
02/2004;102,82 ;95,99
03/2004;103,90 ;96,68
04/2004;103,71 ;97,74
05/2004;104,21 ;99,27
06/2004;104,91 ;100,20
07/2004;105,64 ;101,20
08/2004;106,42 ;102,11
09/2004;107,77 ;102,84
10/2004;107,24 ;103,48
11/2004;107,54 ;103,76
12/2004;107,89 ;101,53
01/2005;108,52 ;102,26
02/2005;108,11 ;103,00
03/2005;108,36 ;103,74
04/2005;108,70 ;105,38
05/2005;109,06 ;106,62
06/2005;109,30 ;107,55
07/2005;108,98 ;108,31
08/2005;109,63 ;109,06
09/2005;109,26 ;109,84
10/2005;110,00 ;110,34
11/2005;110,96 ;109,89
12/2005;112,01 ;108,21
01/2006;112,70 ;108,88
02/2006;112,88 ;110,08
03/2006;113,30 ;110,86
04/2006;114,20 ;112,33
05/2006;114,70 ;113,52
06/2006;114,13 ;114,34
07/2006;115,19 ;115,13
08/2006;114,92 ;115,73
09/2006;114,76 ;116,41
10/2006;115,89 ;117,05
11/2006;116,50 ;116,75
12/2006;117,77 ;114,94
01/2007;117,85 ;115,78
02/2007;119,33 ;116,90
03/2007;119,33 ;117,81
04/2007;120,58 ;119,55
05/2007;121,03 ;120,68
06/2007;122,80 ;121,59
07/2007;123,95 ;122,44
08/2007;124,51 ;123,25
09/2007;126,12 ;124,30
10/2007;126,82 ;125,27
11/2007;127,04 ;125,69
12/2007;127,00 ;123,38
01/2008;128,10 ;124,30
02/2008;128,49 ;125,64
03/2008;130,08 ;126,86
04/2008;130,85 ;128,80
05/2008;130,96 ;129,83
06/2008;132,96 ;131,24
07/2008;133,31 ;132,12
08/2008;132,66 ;133,24
09/2008;134,30 ;134,21
10/2008;132,30 ;134,67
11/2008;131,40 ;134,40
12/2008;127,25 ;130,61
01/2009;128,95 ;130,17
02/2009;129,03 ;130,26
03/2009;129,11 ;130,80
04/2009;129,51 ;131,82
05/2009;130,21 ;132,49
06/2009;130,97 ;132,91
07/2009;129,00 ;133,68
08/2009;130,42 ;134,78
09/2009;131,87 ;135,64
10/2009;132,91 ;136,60
11/2009;133,66 ;137,55
12/2009;135,44 ;135,01
01/2010;136,44 ;135,79
02/2010;136,76 ;136,95
03/2010;137,52 ;138,71
04/2010;137,59 ;140,34
05/2010;137,77 ;141,73
06/2010;138,02 ;142,75
07/2010;137,87 ;143,64
08/2010;139,37 ;145,01
09/2010;139,21 ;145,79
10/2010;139,12 ;146,57
11/2010;140,70 ;146,52
12/2010;140,53 ;144,40
01/2011;142,94 ;145,20
02/2011;143,42 ;146,70
03/2011;143,49 ;147,57
04/2011;141,44 ;149,22
05/2011;143,45 ;150,42
06/2011;143,49 ;151,29
07/2011;144,02 ;152,00
08/2011;143,37 ;152,78
09/2011;143,23 ;153,32
10/2011;142,70 ;153,67
11/2011;143,62 ;153,34
12/2011;143,93 ;151,54
01/2012;142,25 ;152,01
02/2012;144,68 ;152,88
03/2012;143,79 ;153,63
04/2012;143,25 ;154,81
05/2012;144,08 ;155,64
06/2012;144,63 ;156,05
07/2012;147,70 ;156,76
08/2012;148,17 ;157,30
09/2012;147,11 ;157,75
10/2012;148,79 ;158,12
11/2012;148,11 ;158,30
12/2012;148,91 ;155,92
01/2013;149,06 ;156,25
02/2013;149,11 ;157,02
03/2013;150,24 ;157,85
04/2013;151,67 ;159,06
05/2013;151,67 ;159,44
06/2013;150,66 ;159,95
07/2013;150,80 ;160,15
08/2013;151,81 ;160,73
09/2013;152,92 ;161,43
10/2013;151,67 ;161,67
11/2013;153,16 ;161,67
12/2013;150,92 ;159,20
01/2014;150,90 ;159,39
02/2014;150,64 ;160,50
03/2014;149,81 ;160,83
04/2014;149,77 ;161,46
05/2014;149,93 ;161,68
06/2014;148,77 ;161,77
07/2014;146,90 ;161,93
08/2014;147,61 ;162,35
09/2014;146,84 ;162,62
10/2014;147,11 ;162,40
11/2014;146,67 ;162,18
12/2014;146,47 ;159,76
01/2015;147,87 ;159,65
02/2015;146,37 ;159,78
03/2015;145,85 ;159,98
04/2015;143,95 ;159,86
05/2015;142,71 ;159,56
06/2015;143,50 ;158,91
07/2015;139,57 ;158,45
08/2015;140,88 ;158,27
09/2015;139,35 ;157,67
10/2015;140,08 ;157,03
11/2015;137,38 ;156,63
12/2015;138,26 ;153,86
01/2016;138,11 ;153,55
02/2016;137,43 ;153,30
03/2016;137,09 ;152,89
04/2016;139,20 ;152,70
05/2016;136,41 ;152,55
06/2016;136,29 ;152,20
07/2016;136,66 ;152,03
08/2016;134,54 ;152,00
09/2016;135,65 ;151,72
10/2016;135,05 ;151,43
11/2016;135,45 ;150,92
12/2016;133,39 ;148,86
01/2017;135,87 ;148,78
02/2017;135,85 ;149,11
03/2017;135,90 ;149,04
04/2017;136,84 ;149,47
05/2017;137,87 ;149,71
06/2017;140,99 ;149,74
07/2017;141,25 ;150,08
08/2017;140,32 ;150,34
09/2017;141,98 ;150,36
10/2017;140,91 ;150,53
11/2017;141,49 ;150,31
12/2017;141,80 ;148,79
01/2018;141,34 ;149,08
02/2018;140,17 ;149,50
03/2018;142,42 ;149,92
04/2018;144,30 ;150,55
05/2018;136,71 ;150,70
06/2018;142,81 ;150,66
07/2018;142,87 ;150,87
08/2018;142,20 ;151,35
09/2018;141,74 ;151,68
10/2018;140,79 ;151,85
11/2018;142,80 ;152,09
12/2018;143,88 ;150,67
01/2019;143,78 ;150,86
02/2019;145,40 ;151,73
03/2019;144,31 ;151,64
04/2019;146,50 ;152,30
05/2019;146,33 ;152,39
06/2019;145,84 ;152,66
07/2019;144,02 ;152,94
08/2019;145,11 ;153,38
09/2019;144,77 ;153,85
10/2019;146,47 ;154,02
11/2019;144,80 ;154,31
12/2019;144,10 ;152,99
01/2020;146,01 ;-
02/2020;146,07 ;-
03/2020;139,06 ;-
04/2020;124,44 ;-
05/2020;127,30 ;-
06/2020;134,78 ;-
07/2020;139,48 ;-
08/2020;141,47 ;-
09/2020;145,24 ;-
10/2020;145,99 ;-
11/2020;146,59 ;-
12/2020;147,68 ;-
01/2021;147,23 ;-
02/2021;146,87 ;-
03/2021;144,86 ;-
04/2021;144,23 ;-
05/2021;145,69 ;-
06/2021;146,66 ;-
07/2021;145,35 ;-
08/2021;145,98 ;-
09/2021;145,21 ;-
10/2021;143,33 ;-
11/2021;145,98 ;-
12/2021;148,37 ;-
01/2022;148,43 ;-
02/2022;148,57 ;-
03/2022;151,51 ;-
04/2022;149,34 ;-
05/2022;147,88 ;-
06/2022;148,81 ;-
07/2022;150,42 ;-
08/2022;149,47 ;-
09/2022;148,50 ;-
10/2022;150,26 ;-
11/2022;151,82 ;-
12/2022;149,19 ;-
01/2023;148,79 ;-
02/2023;149,85 ;-
03/2023;150,86 ;-
04/2023;150,78 ;-
05/2023;150,96 ;-
06/2023;150,70 ;-
07/2023;151,15 ;-
08/2023;151,51 ;-
09/2023;151,65 ;-
10/2023;151,41 ;-
11/2023;153,57 ;-
12/2023;153,88 ;-
01/2024;154,32 ;-
02/2024;154,52 ;-
03/2024;154,67 ;-
04/2024;155,99 ;-
05/2024;156,37 ;-
06/2024;159,71 ;-
07/2024;157,00 ;-
08/2024;157,04 ;-
09/2024;158,40 ;-
10/2024;157,84 ;-
11/2024;157,04 ;-
Fonte;BCB-Depec;MTb
